freq_hz,psd_dBm
96382421.875000,-3.776874213733e+01
96383007.812500,-3.765700594168e+01
96383593.750000,-3.643094155973e+01
96384179.687500,-3.515934439864e+01
96384765.625000,-3.770217571319e+01
96385351.562500,-3.785509021931e+01
96385937.500000,-3.782429420697e+01
96386523.437500,-3.806299969171e+01
96387109.375000,-3.730190694237e+01
96387695.312500,-3.757244990719e+01
96388281.250000,-3.800264243604e+01
96388867.187500,-3.746127820130e+01
96389453.125000,-3.754695988042e+01
96390039.062500,-3.794275632730e+01
96390625.000000,-3.799203326122e+01
96391210.937500,-3.793426115518e+01
96391796.875000,-3.515075088973e+01
96392382.812500,-3.549027524457e+01
96392968.750000,-3.770022089357e+01
96393554.687500,-3.795201510470e+01
96394140.625000,-3.772882764865e+01
96394726.562500,-3.779819123497e+01
96395312.500000,-3.788247460901e+01
96395898.437500,-3.829700117221e+01
96396484.375000,-3.772830994879e+01
96397070.312500,-3.766336361118e+01
96397656.250000,-3.804831557890e+01
96398242.187500,-3.798370910215e+01
96398828.125000,-3.816502367745e+01
96399414.062500,-3.814725350040e+01
96400000.000000,-3.714750958826e+01
96400585.937500,-3.760994845831e+01
96401171.875000,-3.832988150605e+01
96401757.812500,-3.865736458735e+01
96402343.750000,-3.899126507261e+01
96402929.687500,-3.889560709546e+01
96403515.625000,-3.911114629227e+01
96404101.562500,-3.876006317054e+01
96404687.500000,-3.873508596482e+01
96405273.437500,-3.872010134325e+01
96405859.375000,-3.845988353401e+01
96406445.312500,-3.888695293240e+01
96407031.250000,-3.891025045052e+01
96407617.187500,-3.803983588515e+01
96408203.125000,-3.760032690057e+01
96408789.062500,-3.866478401154e+01
96409375.000000,-3.866236078370e+01
96409960.937500,-3.805212231650e+01
96410546.875000,-3.761841531920e+01
96411132.812500,-3.853350831551e+01
96411718.750000,-3.890071254111e+01
96412304.687500,-3.928594488873e+01
96412890.625000,-3.888720256827e+01
96413476.562500,-3.862081560145e+01
96414062.500000,-3.882976777975e+01
96414648.437500,-3.919826099841e+01
96415234.375000,-3.888822000405e+01
96415820.312500,-3.753805385614e+01
96416406.250000,-3.830888551104e+01
96416992.187500,-3.912973767296e+01
96417578.125000,-3.899739831003e+01
96418164.062500,-3.913943953845e+01
96418750.000000,-3.882967448252e+01
96419335.937500,-3.896508197539e+01
96419921.875000,-3.916302499403e+01
96420507.812500,-3.928898686787e+01
96421093.750000,-3.907445302373e+01
96421679.687500,-3.910055566447e+01
96422265.625000,-3.923334166100e+01
96422851.562500,-3.911270141107e+01
96423437.500000,-3.875258373466e+01
96424023.437500,-3.735086385363e+01
96424609.375000,-3.876351152345e+01
96425195.312500,-3.903986000234e+01
96425781.250000,-3.903492377101e+01
96426367.187500,-3.937751656163e+01
96426953.125000,-3.942299600539e+01
96427539.062500,-3.933045076014e+01
96428125.000000,-3.925589659273e+01
96428710.937500,-3.904096835672e+01
96429296.875000,-3.887732567289e+01
96429882.812500,-3.917501296410e+01
96430468.750000,-3.908592081049e+01
96431054.687500,-3.892050459310e+01
96431640.625000,-3.820116734291e+01
96432226.562500,-3.774801782917e+01
96432812.500000,-3.904760047048e+01
96433398.437500,-3.903187572907e+01
96433984.375000,-3.911124972844e+01
96434570.312500,-3.885437347672e+01
96435156.250000,-3.895907030192e+01
96435742.187500,-3.501312756391e+01
96436328.125000,-3.353226161574e+01
96436914.062500,-3.843181676789e+01
96437500.000000,-3.848558108218e+01
96438085.937500,-3.847472223375e+01
96438671.875000,-3.807252160439e+01
96439257.812500,-3.745930661265e+01
96439843.750000,-3.731342411393e+01
96440429.687500,-3.777509785714e+01
96441015.625000,-3.844651182783e+01
96441601.562500,-3.818527377726e+01
96442187.500000,-3.828941716242e+01
96442773.437500,-3.813743297717e+01
96443359.375000,-3.777880078371e+01
96443945.312500,-3.767746182091e+01
96444531.250000,-3.740063237163e+01
96445117.187500,-3.757064084554e+01
96445703.125000,-3.709326772081e+01
96446289.062500,-3.699483484742e+01
96446875.000000,-3.613495409083e+01
96447460.937500,-3.575823716442e+01
96448046.875000,-3.506998289255e+01
96448632.812500,-3.536215885785e+01
96449218.750000,-3.503964906707e+01
96449804.687500,-3.480415207573e+01
96450390.625000,-3.468007793736e+01
96450976.562500,-3.458846173653e+01
96451562.500000,-3.408244259164e+01
96452148.437500,-3.410562818522e+01
96452734.375000,-3.356609503293e+01
96453320.312500,-3.327386427629e+01
96453906.250000,-3.349220693129e+01
96454492.187500,-3.333857995625e+01
96455078.125000,-3.348535278643e+01
96455664.062500,-3.309047372244e+01
96456250.000000,-3.290578707158e+01
96456835.937500,-3.372975586759e+01
96457421.875000,-3.350651372430e+01
96458007.812500,-3.342241293344e+01
96458593.750000,-3.438356658515e+01
96459179.687500,-3.457871392269e+01
96459765.625000,-3.446661937850e+01
96460351.562500,-3.459044823718e+01
96460937.500000,-3.487181085373e+01
96461523.437500,-3.543598235310e+01
96462109.375000,-3.580050876257e+01
96462695.312500,-3.563848808797e+01
96463281.250000,-3.578960158335e+01
96463867.187500,-3.480445100235e+01
96464453.125000,-3.595876035353e+01
96465039.062500,-3.684845770153e+01
96465625.000000,-3.707525183517e+01
96466210.937500,-3.763303416193e+01
96466796.875000,-3.751954789039e+01
96467382.812500,-3.802634066780e+01
96467968.750000,-3.815089843788e+01
